1,33,4811,6566,3096,4405,7854
2,1,3539,4815,818,910,453
3,7247,1701,7188,4779,51,6096
4,3175,5214,1025,2960,469,6091
5,6099,6958,1189,5225,5239,7232
6,6567,5555,7224,7211,7597,3322
7,7206,2851,1,4810,3539,7762
8,6096,2960,3175,4405,33,7188
9,910,4815,7247,4811,1189,6091
10,4810,3322,469,1701,7762,7597
11,6566,453,7206,2851,818,5555
12,6099,4779,7232,7854,5214,6567
13,1025,7211,7224,5239,51,6958
14,5225,4405,469,7206,3096,7247
15,910,6567,1701,818,33,4779
16,6091,5239,1025,7188,7854,1
17,4810,6096,4815,3539,6958,5214
18,51,5225,3322,6566,2960,2851
19,1189,453,7597,7762,3096,6099
20,7211,5555,4811,7232,7224,3175
21,6958,1,818,4405,3322,1701
22,7762,1189,6567,7247,1025,6566
23,7232,4810,7211,6091,5225,7854
24,453,5239,5555,4779,4815,7597
25,7206,33,3175,5214,51,3096
26,2960,6099,910,2851,6096,4811
27,469,3539,1189,7224,7188,3322
28,5239,33,1,5555,7206,5225
29,2851,7597,1025,3175,818,4405
30,6091,4779,4810,51,6566,7224
31,7188,469,4815,6958,7211,2960
32,5214,910,7762,3096,7232,3539
33,1701,6096,453,4811,6567,6099
34,7854,2851,33,7247,1189,4779
35,5239,7597,2960,910,6091,7206
36,4405,7224,6958,5214,4815,453
37,7854,7247,818,3175,7762,7188
38,7232,5555,6096,5225,1025,3096
39,469,4811,51,6567,4810,1
40,3322,6566,3539,1701,7211,6099
41,5239,5214,7188,453,7247,5225
42,818,6567,7206,7224,2960,4810
43,6958,3175,7597,1,4811,4779
44,5555,4405,51,3322,7232,910
45,7762,6091,33,7211,6096,1189
46,4815,6566,3096,6099,2851,469
47,1025,4811,7854,3539,1701,5555
48,7211,5214,4405,1189,818,4810
49,453,7762,51,33,6958,5225
50,3096,7224,1701,2960,7232,7247
51,7854,7206,4779,4815,3322,6091
52,3539,3175,2851,6096,5239,6567
53,7597,6566,6099,7188,1025,910
54,1,7247,3322,7232,469,33
55,1701,2960,4811,5555,1189,5214
56,7597,7854,910,2851,6567,51
57,4779,3096,6958,3539,6091,818
58,7224,1,5225,6096,6099,4405
59,453,7188,7211,4810,7206,1025
60,6566,469,7762,4815,3175,5239
61,5225,1701,2851,910,7224,3539
62,5555,7188,6091,6567,453,3096
63,1189,7206,5239,4811,818,5214
64,1025,4815,7232,33,7597,4810
65,2960,1,4405,4779,7211,7762
66,6096,6566,6958,3322,7854,3175
67,6099,51,818,7247,469,5555
68,1189,3096,2851,6091,1,7211
69,4405,453,7232,6566,1701,5239
70,6567,1025,4779,7597,5225,5214
71,3175,6099,7247,6958,910,4810
72,7762,7854,6096,469,7224,7206
73,33,3322,2960,4811,7188,3539
74,4815,5225,1189,51,3175,1701
75,5214,6091,7224,1,910,6566
76,3096,4810,4811,469,4779,5239
77,818,7762,2960,453,6099,7854
78,7188,7232,6567,7206,4405,4815
79,51,3539,7211,7597,7247,6096
80,3322,6958,2851,1025,5555,33
